nll_mean,nli_flag_gpt_label,nli_flag_ent_label,nll_ent_0,nll_ent_1,nll_ent_-1,mi_mean,nli_flag_ent_output,mi_ent_0,mi_ent_1,mi_ent_-1
0.021711052464875518,,-1,0.021733183545840074,,0.004736513365060091,,-1,,,
0.07299032879310374,,-1,0.06873460342067547,,0.8858338749269024,,-1,,,
0.021503885434022745,,-1,0.018461393298542555,,0.7973393799814706,,-1,,,
0.031574965358582695,,1,0.031574965358582695,,,,1,,,
0.08918203346391233,,-1,0.0834305918414534,,0.4849857887549495,,-1,,,
0.11239709050332003,,-1,0.0965982663717905,,2.523297652974725,,1,,,
0.042677100491504305,,-1,0.04043648716925043,,0.6140334976662416,,1,,,
0.04448627189438289,,-1,0.03644856638987195,0.44245477560504626,0.9313256740570068,,-1,,,
0.017201498789219134,,1,0.017201498789219134,,,,1,,,
0.014461251202074976,,-1,0.01309261459698563,,1.064205527305603,,-1,,,
0.024121738976586354,,-1,0.0240778278245742,0.015275091383955441,0.07540706545114517,,-1,,,
0.0728221440179393,,-1,0.07289541087489869,,0.04476093780249357,,1,,,
0.010069648783969617,,1,0.010069648783969617,,,,1,,,
0.09709717297262029,,-1,0.08450333056940033,0.00462748142932209,1.5461036033770401,,-1,,,
0.003529134481374522,,1,0.003526788193606684,0.005328737199306488,,,1,,,
0.03588986276269764,,-1,0.035983288168043685,,0.00010793251516361124,,1,,,
0.026252787801586425,,1,0.026286938443748336,5.924526340095326e-05,,,1,,,
0.08886845683543025,,-1,0.08860351024911811,,0.2920824885368347,,-1,,,
0.037059068602008104,,1,0.037147257175328505,0.0032828450202941895,,,1,,,
0.05604405785922436,,1,0.05604405785922436,,,,1,,,
0.011929606262926384,,-1,0.011940144695353384,,0.0038466285914182663,,-1,,,
0.02012022560292337,,1,0.012409761407774167,1.492818886876421,,,1,,,
0.03227055703022508,,1,0.032307857003269096,0.003661477705463767,,,-1,,,
0.011736853897656255,,1,0.011321895082513795,0.3300102651119232,,,1,,,
0.04178680584953772,,1,0.04178680584953772,,,,1,,,
0.007073911266706645,,1,0.007073911266706645,,,,1,,,
0.07181984415742153,,1,0.07226432541992561,0.0039920034992974255,,,1,,,
0.12253783123122435,,-1,0.09555885513913297,,1.6893937504257617,,-1,,,
0.04932757570526203,,-1,0.04861145331731139,0.03253029373663594,0.6789992451667786,,-1,,,
0.05611582783269616,,1,0.056184549796214255,0.0034060818143188953,,,-1,,,
0.02486888723631786,,1,0.02486888723631786,,,,1,,,
0.03946883828656548,,-1,0.039525058122464055,0.0035701703115288788,0.10421288758516312,,-1,,,
0.016473500619313224,,1,0.015277615298204978,0.19896560062043137,,,1,,,
0.1478252718513969,,-1,0.14896760732586267,,0.002748666594243332,,-1,,,
0.20508169345124294,,-1,0.1924374895363042,1.1180242067202926,1.8867091631206374,,-1,,,
0.0645872034799068,,-1,0.05466614872068952,,1.959508662490407,,-1,,,
0.009219157026426691,,1,0.009219157026426691,,,,1,,,
0.01199387073354193,,1,0.012018846486787466,0.002428157240501605,,,1,,,
0.19650392502708472,,-1,0.16688926326699038,0.9650713186232073,1.66313658823492,,-1,,,
0.016042866866941452,,-1,0.01606253005812627,,0.0009611992281861603,,1,,,
0.05077311208744876,,-1,0.049137591492538754,,0.25848422764101997,,-1,,,
0.07488570996448136,,1,0.07488570996448136,,,,1,,,
0.0506443370289554,,-1,0.048556188505577316,0.09984293451149522,0.48054871847853065,,-1,,,
0.03776361426609872,,1,0.03776361426609872,,,,1,,,
0.08480708076699983,,-1,0.06455408946466701,,2.286596563777753,,-1,,,
0.0951219525352928,,1,0.0952338332363544,0.009309454821050167,,,1,,,
0.016994181069806064,,1,0.016994181069806064,,,,1,,,
0.014973165732603988,,-1,0.0030167141891267514,1.0083670340129174,1.3882844429463148,,1,,,
0.026288023308972324,,-1,0.02632103974771414,,0.000964414793998003,,1,,,
0.02023498100811416,,1,0.02023498100811416,,,,1,,,
0.06928471807256524,,-1,0.05656343180305089,2.024247754656244,0.6896336196611325,,1,,,
0.1268737875085589,,-1,0.11838485120026994,0.058475899449755765,2.3514614978727573,,1,,,
0.02316877538574798,,-1,0.02288246914803751,,0.13282406442885986,,-1,,,
0.03173390095262896,,-1,0.03176762350399062,,0.005868704058229923,,-1,,,
0.010133735978732497,,1,0.010138653720314134,0.006361828185617924,,,-1,,,
0.05852336800475003,,-1,0.05781907644338945,0.05990057811141014,0.5966334939002991,,1,,,
0.038691940636812916,,-1,0.03787514245031044,0.15469798053381964,0.0810619592666626,,-1,,,
0.04155039650167621,,1,0.04155039650167621,,,,1,,,
0.039589174270489615,,-1,0.03963977893818735,,0.0007753941463306546,,-1,,,
